k	x	y	x2	y2	col
892	-12.0608	-9.2565	-11.3802	-9.5393	446
894	-11.3802	-9.5393	-11.5668	-8.8264	447
896	-11.5668	-8.8264	-11.5144	-8.0914	448
898	-11.5144	-8.0914	-11.2834	-8.7910	449
900	-11.2834	-8.7910	-10.5469	-8.8075	450
902	-10.5469	-8.8075	-10.1326	-9.4166	451
904	-10.1326	-9.4166	-10.6226	-8.8666	452
906	-10.6226	-8.8666	-11.2727	-9.2127	453
908	-11.2727	-9.2127	-12.0090	-9.2129	454
910	-12.0090	-9.2129	-11.5812	-8.6137	455
912	-11.5812	-8.6137	-12.2809	-8.8426	456
914	-12.2809	-8.8426	-12.4386	-9.5617	457
916	-12.4386	-9.5617	-12.8101	-10.1971	458
918	-12.8101	-10.1971	-13.4530	-9.8388	459
920	-13.4530	-9.8388	-12.7177	-9.8676	460
922	-12.7177	-9.8676	-13.3337	-9.4653	461
924	-13.3337	-9.4653	-13.6488	-10.1302	462
926	-13.6488	-10.1302	-13.3084	-10.7823	463
928	-13.3084	-10.7823	-12.8162	-11.3289	464
930	-12.8162	-11.3289	-12.5134	-11.9992	465
932	-12.5134	-11.9992	-12.7550	-12.6938	466
934	-12.7550	-12.6938	-13.4836	-12.7931	467
936	-13.4836	-12.7931	-13.7520	-12.1086	468
938	-13.7520	-12.1086	-13.1024	-11.7643	469
940	-13.1024	-11.7643	-12.6970	-12.3775	470
942	-12.6970	-12.3775	-13.2244	-12.8896	471
944	-13.2244	-12.8896	-13.8961	-12.5913	472
946	-13.8961	-12.5913	-14.0888	-11.8821	473
948	-14.0888	-11.8821	-13.9311	-11.1645	474
950	-13.9311	-11.1645	-13.7934	-10.4428	475
952	-13.7934	-10.4428	-14.1147	-9.7821	476
954	-14.1147	-9.7821	-14.8285	-9.9557	477
956	-14.8285	-9.9557	-14.2803	-10.4446	478
958	-14.2803	-10.4446	-14.8045	-9.9302	479
960	-14.8045	-9.9302	-14.0843	-9.7870	480
962	-14.0843	-9.7870	-13.6012	-10.3399	481
964	-13.6012	-10.3399	-13.0312	-10.8027	482
966	-13.0312	-10.8027	-12.5236	-10.2724	483
968	-12.5236	-10.2724	-13.1408	-10.6697	484
970	-13.1408	-10.6697	-13.3440	-9.9644	485
972	-13.3440	-9.9644	-13.3659	-9.2309	486
974	-13.3659	-9.2309	-14.0972	-9.1699	487
976	-14.0972	-9.1699	-13.3640	-9.1427	488
978	-13.3640	-9.1427	-13.0213	-9.7914	489
980	-13.0213	-9.7914	-12.3042	-9.9462	490
982	-12.3042	-9.9462	-12.9817	-9.6649	491
984	-12.9817	-9.6649	-13.0086	-8.9320	492
986	-13.0086	-8.9320	-13.6841	-8.6466	493
988	-13.6841	-8.6466	-12.9514	-8.6757	494
990	-12.9514	-8.6757	-12.2657	-8.9352	495
992	-12.2657	-8.9352	-12.4794	-8.2339	496
994	-12.4794	-8.2339	-11.8203	-7.9130	497
996	-11.8203	-7.9130	-11.9663	-7.1947	498
998	-11.9663	-7.1947	-11.2836	-7.4613	499
1000	-11.2836	-7.4613	-10.6070	-7.1796	500
1002	-10.6070	-7.1796	-10.9913	-7.8036	501
1004	-10.9913	-7.8036	-10.9780	-8.5362	502
1006	-10.9780	-8.5362	-11.4044	-7.9404	503
1008	-11.4044	-7.9404	-12.1183	-7.7760	504
1010	-12.1183	-7.7760	-11.5598	-7.3020	505
1012	-11.5598	-7.3020	-11.8150	-6.6155	506
1014	-11.8150	-6.6155	-11.1366	-6.3397	507
1016	-11.1366	-6.3397	-11.7009	-5.8730	508
1018	-11.7009	-5.8730	-11.9522	-5.1853	509
1020	-11.9522	-5.1853	-11.6319	-5.8437	510
1022	-11.6319	-5.8437	-10.9326	-6.0601	511
