k	x	y	x2	y2	col
2664	28.3536	13.5071	28.80469381	13.56164828	2664
2665	28.8047	13.5616	28.57475307	13.16975101	2665
2666	28.5748	13.1698	28.47070213	13.61203388	2666
2667	28.4707	13.6120	28.80738832	13.30696395	2667
2668	28.8074	13.3070	28.37211228	13.4371352	2668
2669	28.3721	13.4371	28.82641683	13.43583139	2669
2670	28.8264	13.4358	28.37579205	13.37824511	2670
2671	28.3758	13.3782	28.82781995	13.42334723	2671
2672	28.8278	13.4233	28.37523232	13.46223697	2672
2673	28.3752	13.4622	28.78844562	13.273591	2673
2674	28.7884	13.2736	28.51620762	13.6371891	2674
2675	28.5162	13.6372	28.50971313	13.18303108	2675
2676	28.5097	13.1830	28.84435925	13.49011127	2676
2677	28.8444	13.4901	28.40199203	13.59298064	2677
2678	28.4020	13.5930	28.49868847	13.14924055	2678
2679	28.4987	13.1492	28.89703246	13.36732801	2679
2680	28.8970	13.3673	28.62923653	13.73408408	2680
2681	28.6292	13.7341	28.25548271	13.47617444	2681
2682	28.2555	13.4762	28.44105853	13.06174044	2682
2683	28.4411	13.0617	28.89361005	13.09883064	2683
2684	28.8936	13.0988	29.07608146	13.51460388	2684
2685	29.0761	13.5146	28.85605482	13.91176395	2685
2686	28.8561	13.9118	28.42248801	14.04649449	2686
2687	28.4225	14.0465	27.9896525	13.90948871	2687
2688	27.9897	13.9095	27.66019887	13.59713934	2688
2689	27.6602	13.5971	27.43645959	13.20213651	2689
2690	27.4365	13.2021	27.27057084	12.77958225	2690
2691	27.2706	12.7796	27.09877804	12.35941192	2691
2692	27.0988	12.3594	26.85869143	11.97418604	2692
2693	26.8587	11.9742	26.50839136	11.68554243	2693
2694	26.5084	11.6855	26.06447788	11.59093378	2694
2695	26.0645	11.5909	25.65081357	11.77768635	2695
2696	25.6508	11.7777	25.4918	12.20276763	2696
2697	25.4918	12.2028	25.74256083	12.58103095	2697
2698	25.7426	12.5810	26.19350936	12.53009669	2698
2699	26.1935	12.5301	26.2863719	12.0859006	2699
2700	26.2864	12.0859	25.86336246	11.92164049	2700
2701	25.8634	11.9216	25.69482117	12.34294436	2701
2702	25.6948	12.3429	26.13592117	12.44933362	2702
2703	26.1359	12.4493	26.10820475	11.99644903	2703
2704	26.1082	11.9964	25.71283166	12.21901936	2704
2705	25.7128	12.2190	26.12081168	12.41749989	2705
2706	26.1208	12.4175	25.98410709	11.9849044	2706
2707	25.9841	11.9849	25.82752925	12.41069211	2707
2708	25.8275	12.4107	26.17058361	12.11385831	2708
2709	26.1706	12.1139	25.74625732	12.27425971	2709
2710	25.7463	12.2743	26.19388466	12.20080234	2710
2711	26.1939	12.2008	25.74338303	12.25371101	2711
2712	25.7434	12.2537	26.18562614	12.15292953	2712
2713	26.1856	12.1529	25.78415743	12.36398305	2713
